,Nombre,Precio,Variacion,Maxima,Minima,Fecha
R.E.C.,"17,6350","0,17","17,7500","17,5400",2021-10-25 02:11:56.880710
REPSOL,"11,4660","0,12","11,5700","11,4220",2021-10-25 02:11:56.888709
SIEMENS GAME,"21,9200","-0,72","22,4900","21,9200",2021-10-25 02:11:56.888709
SOLARIA,"16,9600","1,50","17,1800","16,5700",2021-10-25 02:11:56.888709
TELEFONICA,"3,7715","-0,50","3,8200","3,7645",2021-10-25 02:11:56.901588
VISCOFAN,"55,9500","-0,80","57,1000","55,9000",2021-10-25 02:11:56.901588
,,,,,2021-10-25 07:43:25.623478
ACCIONA,"161,4000","0,19","162,0000","159,3000",2021-10-25 07:43:25.633643
ACERINOX,"11,7400","1,29","11,8050","11,6500",2021-10-25 07:43:25.635638
ACS,"22,8800","-0,78","23,0000","22,5500",2021-10-25 07:43:25.636637
AENA,"140,7500","-0,85","142,5000","139,1500",2021-10-25 07:43:25.638638
ALMIRALL,"12,8000","0,71","12,8300","12,7200",2021-10-25 07:43:25.640633
AMADEUS,"55,3200","-0,14","55,6000","54,6600",2021-10-25 07:43:25.641633
ARCELORMIT.,"27,8400","2,30","27,8700","27,4500",2021-10-25 07:43:25.644633
B.SANTANDER,"3,3410","1,80","3,3505","3,2915",2021-10-25 07:43:25.646635
BA.SABADELL,"0,6888","5,32","0,6908","0,6552",2021-10-25 07:43:25.647631
BANKINTER,"4,8190","2,05","4,8400","4,7330",2021-10-25 07:43:25.649631
BBVA,"5,6530","-0,58","5,7220","5,5860",2021-10-25 07:43:25.650629
CAIXABANK,"2,6350","3,70","2,6350","2,5460",2021-10-25 07:43:25.652630
CELLNEX,"54,5600","-0,11","54,7200","54,1800",2021-10-25 07:43:25.654628
CIE AUTOMOT.,"22,8800","-2,80","23,5800","22,5800",2021-10-25 07:43:25.656625
ENAGAS,"19,5500","0,33","19,6250","19,3550",2021-10-25 07:43:25.658627
ENDESA,"19,1650","0,52","19,1700","19,0500",2021-10-25 07:43:25.659626
FERROVIAL,"27,1800","0,00","27,1800","26,8400",2021-10-25 07:43:25.661624
FLUIDRA,"37,0000","0,27","37,1500","36,8000",2021-10-25 07:43:25.663625
GRIFOLS CL.A,"20,3400","0,69","20,3700","20,0400",2021-10-25 07:43:25.664621
IAG,"1,8780","1,43","1,8895","1,8350",2021-10-25 07:43:25.665620
